player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Bijan Robinson,123126,HB,ATL,11,167,38,8,22.1,173,0,783,1,17,38,510,79.2,14,38,2,0,35,90.6,91.6,86.9,,56.0,90.2,90.9,82.0,37,2,359,45,246,183,0,0,49,212,6,783,510,3.05,4.7,1.46,130
James Conner,11860,HB,ARZ,11,166,49,9,22.3,157,0,705,1,16,49,564,113.3,23,46,1,3,117,49.4,83.0,86.9,,69.7,60.2,85.4,62.0,22,0,288,29,180,197,0,0,33,195,5,705,564,3.4,4.2,1.6,47
Rhamondre Stevenson,98689,HB,NE,11,162,35,5,16.7,100,1,598,1,10,35,463,67.7,15,31,19,5,95,33.2,66.9,51.2,,66.5,61.5,66.9,72.6,33,3,118,28,205,173,0,0,34,190,6,598,463,2.86,3.7,0.58,63
Jonathan Taylor,57488,HB,IND,9,161,19,11,39.1,277,0,708,2,6,19,452,40.3,21,34,14,2,63,61.0,48.5,47.8,,31.6,33.3,57.2,43.7,58,2,111,13,175,205,0,0,21,174,5,708,452,2.81,4.4,0.63,98
J.K. Dobbins,57366,HB,LAC,11,158,33,10,38.6,296,0,766,2,4,33,497,62.6,24,39,27,0,84,90.4,67.3,86.5,,69.9,56.7,67.3,69.8,61,0,134,28,177,177,0,0,32,186,8,766,497,3.15,4.8,0.76,71
Kareem Hunt,11841,HB,KC,8,155,20,2,5.5,32,0,577,0,7,20,369,37.4,8,31,16,0,56,90.3,72.6,85.8,,72.4,67.8,70.8,60.3,17,0,135,17,136,171,0,0,19,172,5,577,369,2.38,3.7,0.99,92
Jahmyr Gibbs,122474,HB,DET,11,154,39,17,43.6,386,0,886,0,3,39,496,75.2,25,41,11,0,54,90.3,81.6,0.0,,25.5,71.2,85.2,75.8,70,3,265,26,176,165,0,0,32,180,10,886,496,3.22,5.8,1.51,96
Breece Hall,97636,HB,NYJ,11,152,23,8,28.2,178,0,632,5,10,23,475,52.1,18,26,22,4,59,38.5,59.1,25.8,,54.8,54.1,63.1,56.1,42,2,401,46,274,168,0,0,59,198,4,632,475,3.13,4.2,1.46,91
David Montgomery,45719,HB,DET,11,145,36,5,14.1,89,0,632,0,16,36,474,100.6,14,43,11,2,49,59.0,84.2,28.2,69.5,51.1,84.9,80.2,60.0,21,1,241,24,113,150,0,0,25,169,11,632,474,3.27,4.4,2.13,92
Chase Brown,77787,HB,CIN,11,140,29,7,25.0,152,0,607,3,8,29,411,62.1,15,25,7,2,53,60.7,73.6,86.8,,46.6,66.8,75.0,60.1,30,0,207,35,189,154,0,0,42,175,5,607,411,2.94,4.3,1.1,83
Jordan Mason,62946,HB,SF,11,140,35,11,37.0,263,0,711,0,3,35,451,81.1,20,33,28,3,38,39.8,71.2,85.3,,44.5,54.6,74.2,67.3,38,0,91,11,159,162,0,0,14,151,3,711,451,3.22,5.1,0.57,101
James Cook,83666,HB,BUF,10,137,23,5,19.8,118,0,596,3,3,23,392,45.9,14,34,4,0,53,90.1,74.6,84.9,,73.4,51.7,80.2,29.0,49,0,182,25,163,153,0,0,31,162,10,596,392,2.86,4.4,1.12,83
De'Von Achane,124305,HB,MIA,11,132,22,6,24.9,140,1,562,0,9,22,393,51.0,15,24,17,0,43,90.2,81.9,51.5,,39.6,82.2,80.3,37.5,47,1,373,49,226,168,0,0,53,181,3,562,393,2.98,4.3,1.65,83
Kenneth Walker III,97199,HB,SEA,9,129,53,6,26.4,130,1,493,0,12,53,401,122.5,10,24,29,0,51,90.1,90.1,16.6,,39.7,74.3,91.5,67.8,28,2,274,36,196,148,0,0,41,165,7,493,401,3.11,3.8,1.4,74
Brian Robinson,57120,HB,WAS,9,122,22,7,30.2,162,0,537,1,6,22,429,74.0,11,32,32,0,58,89.5,79.9,87.7,,54.1,70.0,78.3,67.8,40,0,99,11,106,156,0,0,14,133,7,537,429,3.52,4.4,0.93,59
Javonte Williams,77803,HB,DEN,12,120,20,3,11.9,53,0,445,3,7,20,296,42.4,11,25,10,2,57,56.3,62.6,44.8,,64.4,69.0,61.2,41.7,20,1,256,37,197,140,0,0,45,157,3,445,296,2.47,3.7,1.3,60
Tyrone Tracy,84226,HB,NYG,11,116,22,8,35.3,207,0,587,3,4,22,368,59.8,15,28,21,3,49,27.1,63.1,88.0,,61.7,43.2,72.4,39.3,45,0,145,22,179,151,0,0,26,138,3,587,368,3.17,5.1,0.81,58
Jalen Hurts,40291,QB,PHI,11,115,13,1,3.9,18,0,183,0,0,7,102,10.1,12,48,24,7,14,50.8,76.2,73.6,67.0,,,87.0,60.2,24,1,0,0,0,359,273,31,0,84,11,456,210,1.83,4.0,,18
Rico Dowdle,40693,HB,DAL,10,112,20,2,7.0,34,0,488,3,6,20,331,54.5,9,25,9,2,37,51.9,66.4,86.5,,68.2,65.3,65.3,54.9,19,0,184,29,167,133,0,0,37,141,0,488,331,2.96,4.4,1.1,64
Bucky Irving,144970,HB,TB,11,108,34,8,36.4,211,0,580,1,16,34,453,149.8,14,28,30,2,61,53.0,86.0,85.6,,44.8,90.5,81.2,56.0,56,0,252,32,152,126,0,0,33,140,5,580,453,4.19,5.4,1.66,40
Lamar Jackson,46416,QB,BLT,12,103,32,7,25.2,151,0,378,0,0,16,150,43.8,25,31,3,6,23,56.8,91.9,60.3,90.3,,,84.6,60.5,33,4,0,0,0,350,221,29,0,74,3,599,308,2.99,5.8,,29
Jayden Daniels,97993,QB,WAS,12,99,20,3,14.2,79,1,173,0,0,6,102,23.5,17,34,32,3,18,71.0,88.5,88.4,83.4,,,82.5,60.4,46,1,0,0,0,288,383,48,0,51,5,556,352,3.56,5.6,,15
Alexander Mattison,45817,HB,LV,10,97,13,3,18.1,58,0,320,1,12,13,244,51.5,5,20,23,0,37,88.7,67.1,85.8,,36.1,72.3,66.9,58.1,24,0,245,25,152,114,0,0,29,122,3,320,244,2.52,3.3,1.61,59
Tank Bigsby,123974,HB,JAX,9,95,27,7,43.0,223,0,519,1,3,27,411,132.4,14,20,15,1,48,28.2,75.4,83.2,,35.1,42.3,80.1,59.5,65,0,36,3,73,111,0,0,4,98,4,519,411,4.33,5.5,0.49,44
Rachaad White,131633,HB,TB,10,92,12,3,25.7,88,0,343,0,11,12,267,51.3,4,18,30,1,31,68.4,73.9,88.4,,68.5,79.0,69.0,68.7,56,0,301,38,201,120,0,0,41,130,2,343,267,2.9,3.7,1.5,57
Tyler Allgeier,83639,HB,ATL,11,85,21,6,27.0,116,0,429,0,4,21,330,103.3,13,27,2,0,22,87.1,84.8,80.0,,54.0,65.5,85.6,49.4,24,0,56,9,66,102,0,0,9,94,2,429,330,3.88,5.0,0.85,62
Travis Etienne Jr.,57185,HB,JAX,9,82,10,5,28.0,91,0,325,2,3,10,189,28.8,11,18,15,1,46,63.5,56.0,85.1,,15.1,61.6,60.8,58.9,22,0,102,22,142,92,0,0,30,104,2,325,189,2.3,4.0,0.72,34
Devin Singletary,40485,HB,NYG,9,80,22,4,30.1,98,0,326,1,5,22,239,84.0,9,18,21,2,43,37.5,63.7,84.1,,75.2,56.0,64.2,51.8,43,0,99,16,115,106,0,0,18,96,3,326,239,2.99,4.1,0.86,35
Jaylen Warren,98692,HB,PIT,9,75,16,3,16.5,50,0,303,0,4,16,219,60.8,8,17,25,1,25,63.2,58.7,86.7,,29.6,67.4,58.9,55.3,18,0,142,21,116,96,0,0,24,96,1,303,219,2.92,4.0,1.22,47
Zack Moss,40341,HB,CIN,8,74,9,2,12.8,31,0,242,2,6,9,157,32.8,5,13,7,2,41,37.0,58.2,87.5,,50.6,66.2,55.4,60.0,16,0,187,23,155,85,0,0,27,97,2,242,157,2.12,3.3,1.21,28
Austin Ekeler,12164,HB,WAS,11,74,10,4,34.6,123,0,355,2,11,10,185,49.1,7,18,32,2,38,29.8,64.9,90.6,,28.2,65.9,68.0,55.6,50,0,346,33,200,118,0,0,38,107,4,355,185,2.5,4.8,1.73,29
Nick Chubb,45783,HB,CLV,5,73,15,1,6.8,15,0,222,1,0,15,192,51.9,3,13,8,0,27,85.6,61.2,80.1,,41.1,43.3,65.3,60.0,15,0,7,3,55,81,0,0,5,76,3,222,192,2.63,3.0,0.13,43
Antonio Gibson,78050,HB,NE,12,72,15,3,28.3,88,0,311,1,3,15,258,74.1,6,13,19,1,42,60.3,67.0,86.4,,52.4,66.4,68.0,45.8,45,0,147,15,98,79,0,0,18,87,0,311,258,3.58,4.3,1.5,28
Cam Akers,57206,HB,MIN,9,72,15,3,16.4,45,0,275,0,0,15,172,43.7,10,13,18,1,30,59.5,65.3,81.4,,31.8,60.4,67.1,60.0,15,0,49,10,75,79,0,0,11,82,1,275,172,2.39,3.8,0.65,40
Zach Charbonnet,97630,HB,SEA,11,71,18,0,0.0,0,0,238,0,8,18,202,75.5,7,17,29,0,27,86.5,68.3,89.1,,70.3,63.5,67.8,65.6,13,0,191,27,176,90,0,0,30,98,4,238,202,2.85,3.4,1.09,38
Ray Davis,101072,HB,BUF,11,69,20,3,19.0,53,1,279,0,1,20,203,78.2,8,15,4,0,40,85.9,73.0,8.0,,47.3,74.9,71.5,60.0,22,1,149,10,52,87,0,0,10,79,2,279,203,2.94,4.0,2.87,29
Josh Allen,46601,QB,BUF,11,67,11,0,0.0,0,0,81,0,0,1,73,5.1,9,30,4,5,11,35.5,84.7,72.4,75.3,,,91.8,60.0,26,2,0,0,0,259,235,29,0,38,5,316,207,3.09,4.7,,3
Daniel Jones,39395,QB,NYG,10,67,14,1,9.1,24,0,183,0,0,11,107,45.3,8,26,21,4,8,80.1,72.0,56.4,67.5,,59.9,79.0,60.0,24,5,0,0,1,255,82,16,0,51,2,265,170,2.54,4.0,0.0,12
Emanuel Wilson,154173,HB,GB,11,66,19,4,23.1,72,0,312,0,4,19,205,95.3,8,16,12,0,24,85.2,81.9,16.4,,68.7,63.5,84.8,71.9,19,1,46,9,72,80,0,0,10,75,1,312,205,3.11,4.7,0.64,40
Jaleel McLaughlin,138346,HB,DEN,12,66,18,3,19.1,54,0,283,0,4,18,169,68.7,8,14,10,1,18,56.2,63.5,85.2,,23.3,49.0,71.2,60.8,21,0,47,16,113,87,0,0,16,82,1,283,169,2.56,4.3,0.42,42
Zamir White,83665,HB,LV,8,65,6,1,9.3,17,0,183,0,4,6,134,29.0,2,4,23,2,28,28.8,42.7,80.3,,47.8,60.2,40.8,71.7,17,0,30,6,56,76,0,0,8,71,1,183,134,2.06,2.8,0.54,37
Bo Nix,97790,QB,DEN,12,64,8,1,10.7,32,0,64,0,0,0,12,0.0,11,27,10,1,5,90.5,72.8,31.8,70.2,,90.3,72.0,60.0,32,6,2,1,2,282,236,34,1,31,4,300,156,2.44,4.7,1.0,6
Gus Edwards,46027,HB,LAC,7,63,4,0,0.0,0,0,206,0,0,4,143,14.2,3,9,27,0,24,84.6,61.0,79.2,,73.6,51.3,61.5,58.0,11,0,2,1,35,82,0,0,2,64,1,206,143,2.27,3.3,0.06,38
Braelon Allen,145159,HB,NYJ,11,62,6,1,8.7,20,0,229,3,2,6,183,32.8,4,17,22,0,24,84.9,73.4,82.8,,40.8,48.9,81.7,56.5,20,0,81,10,77,73,0,0,15,72,2,229,183,2.95,3.7,1.05,36
Anthony Richardson,124393,QB,IND,8,61,14,2,10.1,34,1,187,0,0,7,102,33.7,15,21,14,9,27,24.6,60.4,61.1,61.4,,,56.0,60.0,26,3,0,0,0,191,148,15,0,46,3,335,210,3.44,5.5,,8
Jerome Ford,83601,HB,CLV,9,61,12,3,29.2,87,0,298,1,14,12,177,86.7,9,17,8,0,25,86.4,65.9,90.6,,44.6,56.5,74.0,60.0,36,0,126,26,194,71,0,0,30,87,1,298,177,2.9,4.9,0.65,32
Justin Fields,82118,QB,PIT,8,60,10,2,17.5,48,0,164,0,0,3,75,12.8,8,18,25,6,8,62.8,70.9,37.4,66.3,,,75.1,60.0,30,4,0,0,0,192,110,18,0,42,5,274,129,2.15,4.6,,12
Raheem Mostert,9783,HB,MIA,8,60,13,2,15.7,34,0,217,1,4,13,179,72.5,7,12,17,2,22,28.8,68.8,82.3,,73.3,59.9,71.1,59.4,18,0,102,10,98,68,0,0,11,70,2,217,179,2.98,3.6,1.04,35
Jaylen Wright,146934,HB,MIA,10,59,15,4,29.6,72,0,243,1,0,15,196,83.1,8,10,17,1,18,50.7,69.3,81.4,,79.7,39.3,77.0,58.5,20,0,2,1,64,68,0,0,3,60,0,243,196,3.32,4.1,0.03,37
Ezekiel Elliott,10638,HB,DAL,10,58,3,0,0.0,0,0,185,0,2,3,151,19.1,1,9,9,1,15,52.2,59.8,87.2,,56.8,61.4,58.9,59.3,11,0,56,10,111,71,0,0,13,68,2,185,151,2.6,3.2,0.5,36
Caleb Williams,144622,QB,CHI,11,55,12,0,0.0,0,1,94,0,0,2,17,5.9,15,22,6,4,4,89.6,67.5,30.8,64.4,60.9,,76.5,60.3,24,8,0,0,0,266,245,31,0,24,0,339,152,2.76,6.2,,8
Trey Benson,131705,HB,ARZ,10,53,11,2,15.8,37,0,234,0,4,11,167,81.5,8,12,1,1,40,48.2,62.7,79.4,,85.6,74.2,57.0,72.8,20,0,55,5,31,60,0,0,5,58,1,234,167,3.15,4.4,1.77,13
Brock Purdy,77672,QB,SF,10,51,9,0,0.0,0,0,9,0,0,0,7,0.0,11,26,28,6,0,59.0,81.3,88.0,75.1,,60.0,86.7,60.0,16,0,0,0,1,271,258,37,0,14,4,267,132,2.59,5.2,0.0,2
Sam Darnold,29048,QB,MIN,11,48,3,0,0.0,0,0,-1,0,0,0,4,0.0,8,20,18,7,1,47.8,81.9,43.5,79.2,61.3,55.2,76.2,60.0,19,5,0,0,2,305,166,19,0,29,1,165,88,1.83,3.4,0.0,3
Roschon Johnson,99467,HB,CHI,9,48,5,0,0.0,0,0,139,0,4,5,103,32.7,0,16,6,0,30,83.4,72.1,86.8,,44.2,67.9,76.9,60.0,9,0,88,11,107,57,0,0,12,59,6,139,103,2.15,2.9,0.82,14
Ty Chandler,62942,HB,MIN,9,48,3,1,14.8,25,0,169,0,0,3,86,10.0,3,7,18,0,18,83.8,54.3,82.6,60.0,45.9,61.2,55.2,58.3,25,1,42,6,56,59,0,0,6,54,0,169,86,1.79,3.5,0.75,27
Carson Steele,145632,HB,KC,11,48,9,0,0.0,0,0,158,0,3,9,116,54.7,0,14,16,3,24,22.7,56.4,85.0,,15.8,51.9,61.6,61.6,9,0,24,5,69,77,0,0,8,53,0,158,116,2.42,3.3,0.35,16
Kyler Murray,38334,QB,ARZ,11,48,9,1,13.2,50,0,158,0,0,4,52,26.5,13,17,1,6,14,56.7,80.9,54.5,77.8,,,75.8,60.5,50,4,0,0,0,268,222,20,0,28,4,380,170,3.54,7.9,,5
Kenneth Gainwell,77737,HB,PHI,11,47,5,1,8.7,19,1,219,0,3,5,129,40.7,10,10,24,0,17,84.5,52.7,17.9,,27.6,59.0,57.6,48.7,19,1,49,7,72,83,0,0,11,54,1,219,129,2.74,4.7,0.68,30
Trey Sermon,57372,HB,IND,12,47,6,2,24.4,32,0,131,0,1,6,119,30.0,4,13,14,0,19,83.1,58.2,83.5,,55.9,60.9,56.4,67.5,17,0,75,12,83,57,0,0,12,59,2,131,119,2.53,2.8,0.9,28
D'Onta Foreman,11844,HB,CLV,8,46,4,1,16.1,25,0,155,0,2,4,90,23.0,2,6,8,1,23,49.7,60.2,0.6,,41.2,65.9,62.0,58.3,25,1,46,5,34,59,0,0,5,51,0,155,90,1.96,3.4,1.35,22
Justin Herbert,28237,QB,LAC,11,45,3,0,0.0,0,0,4,0,0,0,15,0.0,5,12,27,6,4,33.7,86.6,88.2,85.6,,,63.3,60.0,38,0,0,0,0,286,207,22,0,23,2,211,95,2.11,4.7,,2
Patrick Mahomes,11765,QB,KC,11,44,5,0,0.0,0,1,-25,0,0,0,0,0.0,7,16,16,1,0,91.6,85.0,88.6,79.4,,,87.5,60.5,33,2,2,1,0,293,252,29,1,16,1,227,99,2.25,5.2,,0
Jeremy McNichols,11917,HB,WAS,11,44,8,3,32.3,70,0,217,0,0,8,151,59.7,5,12,32,0,22,82.4,69.2,13.3,,48.9,46.2,81.7,44.9,28,1,7,2,74,71,0,0,2,46,4,217,151,3.43,4.9,0.09,21
Geno Smith,7820,QB,SEA,11,43,2,0,0.0,0,1,4,0,0,0,5,0.0,12,14,29,6,3,69.1,81.0,44.3,80.6,,58.9,62.3,60.0,34,8,0,0,1,236,220,19,0,24,2,224,45,1.05,5.2,0.0,2
Christian McCaffrey,11763,HB,SF,3,43,2,0,0.0,0,0,149,0,2,2,106,17.6,3,8,28,1,10,46.7,68.0,83.5,,77.2,71.7,64.2,57.3,13,0,132,13,86,50,0,0,16,56,0,149,106,2.47,3.5,1.53,31
Tyjae Spears,97195,HB,TEN,7,43,7,1,11.8,19,0,161,0,5,7,134,62.3,4,10,31,0,20,83.6,64.4,84.9,,50.6,67.3,63.4,59.6,19,0,88,17,79,53,0,0,18,60,1,161,134,3.12,3.7,1.11,19
Justice Hill,45865,HB,BLT,12,40,8,2,36.8,68,0,180,0,9,8,154,89.7,5,12,3,0,11,84.7,77.0,41.7,,60.2,90.3,73.3,52.2,51,1,307,33,185,89,0,0,34,73,1,185,154,3.85,4.6,1.66,21
Baker Mayfield,46518,QB,TB,11,40,8,0,0.0,0,0,20,0,0,0,7,0.0,12,14,30,9,0,48.3,81.3,57.1,79.7,,,67.8,60.0,18,3,0,0,0,257,201,26,0,14,3,221,174,4.35,5.5,,3
C.J. Stroud,129759,QB,HST,12,38,5,0,0.0,0,0,-16,0,0,0,-2,0.0,7,11,13,5,1,71.3,74.3,75.2,73.4,,55.7,61.6,60.0,25,2,0,0,3,304,208,30,1,8,0,192,105,2.76,5.1,0.0,0
Miles Sanders,40555,HB,CAR,10,38,8,1,18.7,26,0,139,0,7,8,106,70.9,2,9,5,0,11,82.9,68.1,85.7,,42.1,62.7,73.7,58.1,26,0,98,21,108,48,0,0,25,59,1,139,106,2.79,3.7,0.91,25
Isaac Guerendo,83806,HB,SF,10,38,5,3,48.5,110,0,227,1,1,5,112,42.1,4,8,28,1,10,21.3,53.9,80.4,,33.3,29.7,62.8,60.0,76,0,22,4,42,50,0,0,5,42,1,227,112,2.95,6.0,0.52,28
Audric Estime,147476,HB,DEN,8,38,7,1,11.7,21,0,179,0,0,7,130,58.4,5,8,10,2,22,24.2,59.3,76.6,,77.9,73.5,56.6,60.0,21,0,9,3,18,44,0,0,3,41,0,179,130,3.42,4.7,0.5,13
Will Levis,83542,QB,TEN,8,36,4,1,8.6,15,0,44,0,0,0,27,0.0,5,18,31,5,5,48.6,56.1,40.8,52.5,,58.4,72.5,60.0,21,3,0,0,1,162,131,19,0,17,0,175,84,2.33,4.9,0.0,3
Isiah Pacheco,83747,HB,KC,2,34,2,0,0.0,0,0,135,1,5,2,77,38.7,2,6,16,0,17,81.3,67.0,81.1,,77.7,58.2,68.4,60.0,11,0,54,7,40,40,0,0,8,41,1,135,77,2.26,4.0,1.35,17
Taysom Hill,12112,TE,NO,7,34,10,2,40.3,108,0,268,3,6,10,220,199.1,5,17,20,1,13,44.3,74.9,84.9,38.7,75.6,64.5,90.8,49.4,75,0,150,18,87,85,0,0,24,52,6,268,220,6.47,7.9,1.72,16
Drake Maye,143969,QB,NE,8,33,10,0,0.0,0,0,-2,0,0,0,0,0.0,14,15,19,5,0,53.3,71.3,62.5,64.0,,60.0,90.3,60.0,26,1,0,0,1,136,288,30,0,3,1,286,174,5.27,8.7,0.0,0
Jamaal Williams,11889,HB,NO,8,32,5,0,0.0,0,0,124,0,0,5,87,37.8,3,8,20,0,6,81.7,65.8,80.0,,60.9,57.5,68.0,57.8,14,0,21,4,41,38,0,0,4,36,1,124,87,2.72,3.9,0.51,24
Joe Burrow,28022,QB,CIN,11,31,3,0,0.0,0,0,-1,0,0,0,2,0.0,6,13,7,5,1,61.0,90.4,57.7,89.3,,,67.7,60.1,47,6,0,0,0,230,152,16,0,15,1,151,74,2.39,4.9,,0
Deshaun Watson,11767,QB,CLV,7,31,9,0,0.0,0,0,16,0,0,0,11,0.0,3,8,8,5,4,56.9,63.1,62.3,63.4,,,57.6,60.0,16,2,0,0,0,125,132,21,0,10,1,148,121,3.9,4.8,,1
D'Ernest Johnson,45734,HB,JAX,10,30,4,0,0.0,0,0,117,0,2,4,79,41.6,3,6,15,0,11,80.3,61.0,10.8,,21.7,61.3,70.9,60.0,13,2,77,8,94,36,0,0,12,38,0,117,79,2.63,3.9,0.82,19
Sean Tucker,123056,HB,TB,8,30,2,3,36.5,69,0,189,0,4,2,77,40.5,7,11,30,1,19,40.4,80.7,77.5,,79.5,89.7,74.5,59.8,36,0,104,8,30,38,0,0,9,38,2,189,77,2.57,6.3,3.47,11
Blake Corum,129574,HB,LA,8,29,3,0,0.0,0,0,106,0,1,3,73,30.5,2,8,26,0,15,81.5,71.6,75.1,,52.8,72.0,69.8,60.0,12,0,31,4,13,32,0,0,4,33,0,106,73,2.52,3.7,2.38,14
Tyler Goodson,101659,HB,IND,10,27,3,3,53.9,69,0,128,1,3,3,69,41.4,3,4,14,0,13,81.8,59.4,82.2,,22.0,52.7,66.9,55.8,33,0,56,10,64,37,0,0,13,37,1,128,69,2.56,4.7,0.88,14
Deebo Samuel,48274,WR,SF,10,27,8,0,0.0,0,1,79,4,8,8,57,55.4,1,2,28,0,6,83.3,72.4,65.9,60.0,,74.6,63.9,47.9,12,3,511,34,275,164,0,0,56,61,1,79,57,2.11,2.9,1.86,13
Ameer Abdullah,9487,HB,LV,9,25,3,1,36.4,40,0,110,0,2,3,48,20.4,2,4,23,1,5,47.4,59.3,85.9,,58.2,72.0,52.3,26.8,40,1,113,22,160,27,0,0,25,47,1,110,48,1.92,4.4,0.71,20
Dare Ogunbowale,12329,HB,HST,12,25,3,0,0.0,0,0,68,1,8,3,61,65.5,1,3,13,0,12,80.7,58.5,0.0,,36.6,63.6,65.3,60.0,11,2,166,16,150,31,0,0,22,41,0,68,61,2.44,2.7,1.11,11
Trevor Lawrence,77632,QB,JAX,9,25,4,0,0.0,0,0,14,0,0,1,12,7.1,4,13,15,3,0,69.9,80.3,67.2,76.9,,,77.8,60.0,33,1,-5,0,0,196,99,12,0,13,3,113,92,3.68,4.5,,1
Jared Goff,10635,QB,DET,11,24,1,0,0.0,0,0,-8,0,0,0,2,0.0,0,6,11,5,0,60.4,74.4,72.4,71.5,62.2,90.7,68.9,60.0,8,2,7,1,1,326,47,11,1,14,0,39,27,1.13,1.6,7.0,0
Ty Johnson,45769,HB,BUF,11,22,2,3,46.2,54,0,117,0,1,2,61,27.7,5,9,4,0,8,79.1,68.6,86.6,,52.1,63.1,80.6,33.5,19,0,97,8,117,45,0,0,12,30,1,117,61,2.77,5.3,0.83,13
Emari Demercado,77763,HB,ARZ,11,21,9,3,52.1,110,0,211,0,1,9,157,233.6,6,7,1,0,13,79.8,72.7,82.9,,46.8,69.6,80.6,47.6,53,0,86,11,74,30,0,0,14,32,1,211,157,7.48,10.0,1.16,8
Cordarrelle Patterson,7810,HB,PIT,7,21,6,0,0.0,0,0,104,0,1,6,82,101.2,5,5,25,0,12,79.9,65.0,0.0,,75.5,61.7,67.8,58.3,14,1,34,6,30,36,0,0,8,27,0,104,82,3.9,5.0,1.13,8
JaMycal Hasty,25582,HB,NE,10,20,5,1,21.7,15,0,69,0,6,5,58,106.3,1,4,19,0,13,81.2,71.2,82.3,,85.4,66.3,72.3,60.0,15,0,59,10,66,22,0,0,11,30,0,69,58,2.9,3.5,0.89,6
Kirk Cousins,7102,QB,ATL,11,20,0,0,0.0,0,0,-19,0,0,0,9,0.0,1,1,2,11,0,45.3,77.3,88.3,75.4,,58.9,64.1,60.0,13,1,0,0,1,283,14,2,0,18,0,-5,12,0.6,-0.3,0.0,3
Gardner Minshew,41401,QB,LV,10,19,2,0,0.0,0,0,-2,0,0,0,0,0.0,3,5,23,6,0,47.7,60.7,67.7,61.7,,,46.1,60.2,11,1,0,0,0,194,60,11,0,8,0,58,39,2.05,3.1,,2
Will Shipley,144138,HB,PHI,6,19,3,0,0.0,0,0,46,0,0,3,37,30.7,0,1,24,0,8,79.2,53.9,75.9,,,56.1,55.4,60.0,9,0,0,0,6,22,0,0,0,19,0,46,37,1.95,2.4,0.0,10
Pierre Strong Jr.,66619,HB,CLV,8,19,0,0,0.0,0,0,69,1,2,0,50,20.2,1,4,8,0,6,81.1,56.5,87.1,,47.2,48.9,65.6,59.5,14,0,77,7,99,23,0,0,11,26,0,69,50,2.63,3.6,0.78,9
Bryce Young,123943,QB,CAR,8,18,4,0,0.0,0,0,-5,0,0,0,0,0.0,2,4,5,1,0,75.0,61.8,3.7,62.8,,,57.8,60.0,24,5,0,0,0,120,96,15,0,3,1,91,51,2.83,5.1,,1
Jordan Love,40306,QB,GB,9,18,3,0,0.0,0,0,-3,0,0,1,11,9.1,2,7,12,4,1,61.0,72.4,87.4,71.7,,,53.7,60.1,13,1,0,0,0,231,51,7,0,11,1,48,53,2.94,2.7,,1
Kimani Vidal,123727,HB,LAC,4,18,3,0,0.0,0,0,44,0,0,3,44,34.9,0,2,27,0,13,77.0,61.3,77.7,,65.6,63.3,59.7,60.0,7,0,49,3,30,21,0,0,3,21,0,44,44,2.44,2.4,1.63,5
Chris Brooks,83644,HB,GB,7,17,1,0,0.0,0,0,64,1,3,1,46,45.1,1,3,12,0,4,77.7,58.3,83.7,,87.7,53.6,61.4,44.5,11,1,57,7,34,41,0,0,8,24,0,64,46,2.71,3.8,1.68,13
Julius Chestnut,109239,HB,TEN,6,17,4,0,0.0,0,0,74,0,0,4,47,58.2,1,1,31,0,10,79.0,71.5,75.0,,83.3,65.6,69.3,58.7,12,0,11,2,13,22,0,0,2,19,0,74,47,2.76,4.4,0.85,7
Russell Wilson,7077,QB,PIT,5,17,3,0,0.0,0,0,1,0,0,1,12,8.3,1,3,25,2,0,52.7,75.5,85.5,74.7,,,58.8,60.0,10,0,0,0,0,167,23,5,0,12,1,24,34,2.0,1.4,,2
Tyler Huntley,46448,QB,MIA,3,16,2,0,0.0,0,0,27,0,0,1,7,8.6,2,6,17,1,5,85.1,62.3,82.9,57.5,,,71.6,60.0,20,2,0,0,0,93,40,7,0,9,1,67,19,1.19,4.2,,0
Malik Willis,60341,QB,GB,5,16,5,1,21.2,29,0,53,0,0,0,18,0.0,5,6,12,0,2,82.3,77.4,82.5,74.3,,,70.0,60.0,29,2,0,0,0,109,84,8,0,8,1,137,122,7.63,8.6,,1
Jameis Winston,9434,QB,CLV,9,16,0,0,0.0,0,1,11,0,0,0,7,0.0,1,12,8,3,1,73.3,82.0,84.9,77.3,,,82.3,60.0,13,1,0,0,0,95,35,6,0,10,1,46,9,0.56,2.9,,0
Jacoby Brissett,10725,QB,NE,6,15,2,0,0.0,0,0,-3,0,0,0,1,0.0,3,5,19,4,0,36.9,59.4,85.3,58.8,,,56.7,60.2,16,2,0,0,0,141,65,9,0,6,0,62,36,2.4,4.1,,1
Samaje Perine,11869,HB,KC,11,15,1,0,0.0,0,0,68,2,5,1,36,42.4,2,6,16,0,3,79.9,65.9,86.6,,64.8,66.2,68.7,53.5,13,0,185,19,136,32,0,0,24,34,1,68,36,2.4,4.5,1.36,11
