player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Cooper Kupp,11824,WR,LA,7,2,0,0,0.0,0,0,10,1,7,0,1,6.1,0,1,26,1,0,41.9,74.8,85.7,,65.3,74.7,58.6,57.9,9,0,548,55,242,119,0,0,76,57,0,10,1,0.5,5.0,2.26,0
Xavier Smith,102585,WR,LA,6,2,0,1,80.0,24,0,30,0,0,0,3,0.0,1,1,26,0,0,83.5,75.4,74.0,,,69.1,68.4,61.4,24,0,6,2,7,16,0,0,2,4,0,30,3,1.5,15.0,0.86,1
Troy Franklin,146567,WR,DEN,11,2,0,0,0.0,0,1,8,2,2,0,4,19.0,0,0,10,0,0,75.1,55.6,51.6,,,57.2,55.6,45.9,5,3,190,19,177,67,0,0,33,21,0,8,4,2.0,4.0,1.07,0
Desmond Ridder,55086,QB,LV,2,2,0,0,0.0,0,0,0,0,0,0,,100.0,0,0,23,2,0,27.2,39.8,77.3,41.6,,,54.6,60.0,3,0,0,0,0,4,5,2,0,0,0,5,1,0.5,2.5,,0
Brock Bowers,146715,TE,LV,11,2,1,0,0.0,0,0,9,2,4,1,15,49.3,1,1,23,0,0,82.0,83.1,89.8,,44.0,85.2,62.6,57.3,12,0,744,74,368,170,0,0,95,76,0,9,15,7.5,4.5,2.02,0
Jakobi Meyers,47468,WR,LV,9,2,1,1,87.0,20,0,23,0,3,1,15,54.5,1,1,23,0,0,80.3,74.7,69.1,,66.3,76.0,68.0,40.3,20,2,579,53,356,152,0,0,72,55,0,23,15,7.5,11.5,1.63,0
Tucker Kraft,104034,TE,GB,11,2,0,0,0.0,0,0,4,2,12,0,3,56.3,0,2,12,1,0,21.7,61.0,67.8,,68.7,61.6,70.6,56.1,2,3,402,30,296,279,0,0,38,32,0,4,3,1.5,2.0,1.36,0
Demario Douglas,104155,WR,NE,12,2,2,0,0.0,0,0,10,1,9,2,7,77.0,0,0,19,0,1,79.6,71.5,85.3,,67.4,70.8,62.9,57.3,9,1,477,48,314,125,0,0,63,50,0,10,7,3.5,5.0,1.52,0
Kyle Trask,39987,QB,TB,1,2,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,30,0,0,65.2,60.5,66.9,,,,60.0,,-1,0,0,0,0,2,0,0,0,2,0,-2,0,0.0,-1.0,,0
C.J. Ham,11347,FB,MIN,11,2,0,0,0.0,0,0,10,0,0,0,3,0.0,0,1,18,1,0,15.3,57.8,87.0,,83.8,30.1,69.0,62.9,8,0,11,2,42,92,0,0,3,4,1,10,3,1.5,5.0,0.26,1
