player,player_id,position,team_name,player_game_count,assists,batted_passes,catch_rate,declined_penalties,forced_fumbles,franchise_id,fumble_recoveries,fumble_recovery_touchdowns,grades_coverage_defense,grades_defense,grades_defense_penalty,grades_pass_rush_defense,grades_run_defense,grades_tackle,hits,hurries,interception_touchdowns,interceptions,longest,missed_tackle_rate,missed_tackles,pass_break_ups,penalties,qb_rating_against,receptions,sacks,safeties,snap_counts_box,snap_counts_corner,snap_counts_coverage,snap_counts_defense,snap_counts_dl,snap_counts_dl_a_gap,snap_counts_dl_b_gap,snap_counts_dl_outside_t,snap_counts_dl_over_t,snap_counts_fs,snap_counts_offball,snap_counts_pass_rush,snap_counts_run_defense,snap_counts_slot,stops,tackles,tackles_for_loss,targets,total_pressures,touchdowns,yards,yards_after_catch,yards_per_reception
Jordan Poyer,8000,S,MIA,10,15,0,70.8,0,0,17,0,0,57.8,58.8,0.0,64.1,68.4,71.9,0,0,0,0,33,7.8,5,2,3,131.4,17,0,0,156,6,368,593,17,0,0,17,0,366,576,8,217,48,10,44,0,24,0,2,245,107,14.4
Tony Jefferson,8361,S,LAC,1,0,0,,0,0,27,0,0,60.5,60.8,67.9,,,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,7,7,0,0,0,0,0,6,7,0,0,1,0,0,0,0,0,0,0,0,
Jadeveon Clowney,8636,ED,CAR,9,10,1,100.0,1,0,5,0,0,60.4,67.9,57.7,65.1,68.6,50.4,2,22,0,0,15,14.7,5,0,2,118.8,2,3,0,2,0,27,431,427,0,0,426,1,0,4,228,176,2,17,19,4,2,27,0,30,19,15.0
Khalil Mack,8640,ED,LAC,10,2,4,100.0,0,2,27,1,0,82.8,91.5,72.0,81.9,91.3,49.5,4,22,0,0,11,20.0,5,0,1,112.5,1,5,0,1,0,12,387,386,0,0,383,3,0,1,239,136,0,17,18,1,1,31,0,11,6,11.0
C.J. Mosley,8652,LB,NYJ,4,3,0,100.0,0,0,22,0,0,61.0,74.7,78.7,38.7,81.6,57.0,0,1,0,0,15,15.8,3,0,0,103.1,4,0,0,108,0,44,110,2,0,0,2,0,0,108,3,63,0,6,13,0,4,1,0,35,14,8.8
Jimmie Ward,8665,S,HST,7,8,0,61.9,0,0,13,0,0,71.7,74.1,82.1,56.5,70.3,81.4,0,0,1,2,63,5.9,2,1,0,98.9,13,0,0,86,5,192,312,5,0,0,5,0,143,307,2,118,73,7,24,4,21,0,3,228,65,17.5
DeMarcus Lawrence,8669,ED,DAL,4,4,0,,0,1,9,0,0,60.3,56.8,53.1,53.9,62.4,27.9,2,4,0,0,,33.3,6,0,1,0.0,0,3,0,1,0,3,167,166,0,4,146,16,0,1,89,75,0,7,8,1,0,9,0,0,0,
Kyle Van Noy,8675,ED,BLT,12,6,2,100.0,0,2,3,0,0,58.8,75.8,57.9,75.4,68.8,59.9,8,26,0,0,26,16.7,4,0,2,118.8,5,8,0,19,0,40,496,475,0,0,475,0,0,21,328,128,2,17,14,2,5,42,0,71,31,14.2
Jordan Matthews,8677,TE,CAR,1,0,0,,0,0,5,0,0,,60.0,60.0,,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,
DaQuan Jones,8747,DI,BUF,11,5,1,,0,0,4,0,0,63.2,59.5,51.8,72.1,47.9,27.4,3,11,0,0,,26.3,5,0,2,0.0,0,2,0,0,0,0,386,386,48,314,2,22,0,0,223,163,0,7,9,1,0,16,0,0,0,
Brent Urban,8769,ED,BLT,8,4,1,,0,0,3,0,0,62.0,57.6,81.5,56.3,55.4,75.2,0,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,2,126,126,1,82,16,27,0,0,64,60,0,7,10,0,0,2,0,0,0,
Shelby Harris,8869,DI,CLV,11,10,1,,0,1,8,0,0,61.4,71.2,85.1,59.6,72.1,67.4,1,15,0,0,,3.8,1,0,0,0.0,0,2,0,1,0,5,401,400,7,288,1,104,0,1,206,190,0,15,15,2,0,18,0,0,0,
Denico Autry,8982,ED,HST,6,4,2,,0,0,13,1,0,54.5,53.2,85.1,58.5,47.7,49.8,3,5,0,0,,10.0,1,0,0,0.0,0,3,0,1,0,1,197,196,1,9,114,72,0,1,142,54,0,5,5,0,0,11,0,0,0,
C.J. Goodwin,9243,CB,DAL,2,0,0,,0,0,9,0,0,60.2,61.4,99.9,60.0,60.0,,0,0,0,0,,,0,0,0,0.0,0,0,0,0,4,1,5,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,0,
Mike Pennel,9316,DI,KC,11,3,0,,0,1,16,0,0,52.9,63.6,54.9,62.7,69.4,73.9,0,4,0,0,,0.0,0,0,1,0.0,0,2,0,0,0,5,213,213,28,184,0,1,0,0,94,114,0,9,9,0,0,6,0,0,0,
Dante Fowler Jr.,9436,ED,WAS,12,4,0,100.0,0,1,32,0,0,81.0,62.3,70.5,62.3,52.4,29.6,1,22,1,1,9,30.8,8,0,1,62.5,4,9,0,1,0,16,363,362,0,4,344,14,0,1,211,136,0,17,14,3,4,32,0,34,31,8.5
Leonard Williams,9439,DI,SEA,10,6,0,,0,0,29,0,0,60.6,77.8,71.4,69.9,75.7,43.6,10,21,0,0,,17.2,5,0,1,0.0,0,5,0,1,0,6,452,451,10,190,89,162,0,1,283,163,0,16,18,2,0,36,0,0,0,
Arik Armstead,9450,ED,JAX,11,0,0,,0,0,15,0,0,60.8,60.2,53.1,63.8,54.8,43.0,3,13,0,0,,19.0,4,0,2,0.0,0,1,0,1,0,2,361,359,6,35,227,91,0,2,241,118,1,14,17,1,0,17,0,0,0,
Bud Dupree,9455,ED,LAC,11,2,1,100.0,0,1,27,0,0,66.0,46.4,49.9,50.8,47.5,42.1,4,11,0,1,9,21.1,4,0,2,58.3,2,5,0,7,0,9,404,397,0,0,397,0,0,7,274,121,0,14,13,1,2,20,0,15,18,7.5
Shaq Thompson,9458,LB,CAR,4,8,0,93.3,0,0,5,0,0,62.9,67.4,19.4,52.7,73.2,51.0,1,1,0,0,21,16.3,7,0,1,114.2,14,0,0,206,2,116,245,18,0,0,18,0,0,227,17,112,19,16,28,3,15,2,1,91,66,6.5
Mario Edwards Jr.,9468,DI,HST,8,7,0,,0,0,13,2,0,65.7,55.1,22.6,65.3,46.8,38.4,4,11,0,0,,18.2,4,0,3,0.0,0,3,0,0,0,0,295,295,9,244,4,38,0,0,202,93,0,10,11,0,0,18,0,0,0,
Preston Smith,9471,ED,PIT,12,7,0,75.0,0,0,25,0,0,68.9,63.3,55.4,55.9,67.4,73.4,1,8,0,0,20,8.7,2,0,2,100.0,3,3,0,0,0,22,365,364,0,7,342,15,0,1,200,143,1,11,14,1,4,12,0,34,18,11.3
Eddie Goldman,9472,DI,ATL,11,5,0,,0,0,2,0,0,,62.9,53.1,66.7,60.6,28.7,2,5,0,0,,18.2,2,0,1,0.0,0,0,0,1,0,0,187,186,137,49,0,0,0,1,82,105,0,2,4,0,0,7,0,0,0,
Eric Kendricks,9478,LB,DAL,10,28,0,60.0,0,2,9,1,0,57.6,67.9,85.7,60.8,74.5,64.1,1,2,0,1,57,12.0,12,0,0,90.1,15,2,0,553,3,294,606,14,0,0,14,0,3,592,35,277,33,31,60,0,25,5,1,248,185,16.5
Denzel Perryman,9481,LB,LAC,10,10,0,94.4,0,0,27,0,0,63.4,61.6,81.7,83.9,50.7,29.4,2,3,0,0,23,21.5,14,0,0,97.7,17,1,0,302,1,162,329,2,0,0,2,0,0,327,19,148,24,24,41,1,18,6,0,134,72,7.9
Ronald Darby,9483,CB,JAX,11,4,0,73.7,1,0,15,0,0,58.8,59.7,85.2,60.0,59.8,67.4,0,0,0,0,80,10.4,5,3,3,134.3,42,0,0,60,510,370,595,9,0,0,9,0,0,586,1,224,16,9,39,3,57,0,5,569,213,13.5
Jordan Phillips,9485,DI,BUF,4,0,0,,0,0,4,0,0,,41.1,78.8,69.8,29.5,70.5,2,2,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,71,71,0,51,0,20,0,0,38,33,0,4,4,0,0,4,0,0,0,
Chris Conley,9509,WR,SF,1,0,0,,0,0,28,0,0,,62.7,60.0,,61.9,68.4,0,0,0,0,,0.0,0,0,1,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,
Jordan Hicks,9517,LB,CLV,7,11,0,78.6,0,0,8,0,0,49.9,67.8,30.1,78.1,80.5,48.2,3,2,0,0,19,18.4,7,1,1,105.1,11,2,0,287,2,154,318,15,0,1,14,0,5,303,28,136,9,17,20,3,14,7,0,129,75,11.7
Danielle Hunter,9521,ED,HST,12,6,1,,1,2,13,0,0,67.8,86.4,59.5,83.6,70.9,71.0,10,32,0,0,,13.8,4,0,3,0.0,0,11,0,5,0,4,576,571,0,3,562,6,0,5,379,193,0,28,19,3,0,53,0,0,0,
Angelo Blackson,9533,DI,ARZ,1,0,0,,0,0,1,0,0,,66.5,74.1,66.7,61.5,68.1,0,1,0,0,,0.0,0,0,0,0.0,0,0,0,0,0,0,23,23,0,7,0,16,0,0,10,13,0,1,1,0,0,1,0,0,0,
Za'Darius Smith,9555,ED,DET,11,4,0,100.0,0,0,11,0,0,55.3,77.3,88.3,75.9,64.3,35.9,3,26,0,0,12,24.0,6,0,0,116.7,1,6,0,16,0,9,398,382,0,9,337,36,0,16,255,134,0,13,15,2,1,35,0,12,13,12.0
Kwon Alexander,9557,LB,DEN,3,3,0,100.0,0,1,10,1,0,65.3,90.8,73.7,60.0,91.3,57.4,0,0,0,0,3,11.1,1,0,0,118.8,1,0,0,65,0,20,65,0,0,0,0,0,0,65,1,44,0,3,5,0,1,0,1,3,2,3.0
