Player,Player_id,Pos,Team
Amari Cooper,9437,WR,Rome
Brandon Scherff,9438,G,Cwmfelinfach
Leonard Williams,9439,DI,Las Vegas
Andrus Peat,9446,T,Free Agent
DeVante Parker,9447,WR,Free Agent
Melvin Gordon III,9448,HB,Free Agent
Arik Armstead,9450,DI,New Orleans
Marcus Peters,9451,CB,Las Vegas
Cameron Erving,9452,T,Free Agent
Nelson Agholor,9453,WR,Free Agent
Bud Dupree,9455,ED,Free Agent
D.J. Humphries,9457,T,Free Agent
Shaq Thompson,9458,LB,Hungary
Laken Tomlinson,9461,G,Cwmfelinfach
Phillip Dorsett,9462,WR,Free Agent
Donovan Smith,9467,T,Akureyri
Mario Edwards Jr.,9468,DI,Free Agent
Preston Smith,9471,ED,New Orleans
Eric Kendricks,9478,LB,Rome
Eric Rowe,9480,S,Free Agent
Denzel Perryman,9481,LB,Free Agent
Mitch Morse,9482,C,Akureyri
Ronald Darby,9483,CB,Free Agent
Jordan Phillips,9485,DI,Free Agent
Ameer Abdullah,9487,HB,Free Agent
Rob Havenstein,9490,T,New Orleans
Markus Golden,9491,ED,Free Agent
Randy Gregory,9493,ED,Free Agent
Frank Clark,9496,ED,Hungary
Tyler Lockett,9502,WR,Cuba
Hroniss Grasu,9504,C,Free Agent
Chris Conley,9509,WR,Free Agent
Jordan Hicks,9517,LB,Ivory Coast
Danielle Hunter,9521,ED,Raleigh
Carl Davis Jr.,9523,DI,Free Agent
Ty Montgomery,9527,WR,Free Agent
Steven Nelson,9531,CB,Retired
Angelo Blackson,9533,DI,Free Agent
Jamison Crowder,9538,WR,Free Agent
Blake Bell,9550,TE,Free Agent
Za'Darius Smith,9555,ED,New Orleans
Kwon Alexander,9557,LB,Free Agent
Jon Feliciano,9561,G,Free Agent
Shaq Mason,9564,G,Cuba
Max Garcia,9566,G,Free Agent
Mark Glowinski,9567,G,Free Agent
Grady Jarrett,9570,DI,Akureyri
Adrian Amos,9575,S,Free Agent
MyCole Pruitt,9576,TE,Free Agent
Bobby McCain,9578,CB,Free Agent
Stefon Diggs,9579,WR,Greenland
C.J. Uzomah,9590,TE,Free Agent
Michael Burton,9601,FB,Free Agent
David Mayo,9602,LB,Free Agent
